post_id,timestamp,platform,post_type,content,sentiment,likes,shares,comments,reach,impressions,engagement_rate,date,hour,day_of_week,sentiment_score
501,2024-06-28 15:20:00,Facebook,Text,Best purchase ever! Highly recommend,Positive,1405,183,27,6916,61765,23.35,2024-06-28,15,Friday,1
502,2024-03-15 20:45:00,LinkedIn,Video,"It's okay, nothing special",Neutral,440,51,39,726,13802,73.0,2024-03-15,20,Friday,0
503,2024-07-27 11:32:00,TikTok,Image,Excellent service! Very satisfied,Positive,1248,5,7,48966,64429,2.57,2024-07-27,11,Saturday,1
504,2024-02-23 18:25:00,TikTok,Video,Terrible customer service,Negative,260,139,32,10631,33262,4.05,2024-02-23,18,Friday,-1
505,2024-04-25 10:24:00,TikTok,Video,Worst purchase ever. Total waste,Negative,972,172,113,18396,24059,6.83,2024-04-25,10,Thursday,-1
506,2024-08-13 04:53:00,Instagram,Text,Love this product! #amazing,Positive,151,26,53,27677,76929,0.83,2024-08-13,4,Tuesday,1
507,2024-08-25 23:06:00,Instagram,Image,Outstanding service! Five stars,Positive,577,253,130,16561,80968,5.8,2024-08-25,23,Sunday,1
508,2024-06-17 22:04:00,TikTok,Text,Average experience,Neutral,734,87,134,23435,19432,4.08,2024-06-17,22,Monday,0
509,2024-04-17 06:33:00,Facebook,Image,Poor quality. Not worth the money,Negative,493,185,84,17587,50057,4.33,2024-04-17,6,Wednesday,-1
510,2024-02-04 19:50:00,LinkedIn,Link,Product as described,Neutral,484,226,43,24122,92288,3.12,2024-02-04,19,Sunday,0
511,2024-07-01 13:24:00,TikTok,Link,Poor quality. Not worth the money,Negative,547,275,95,35534,59376,2.58,2024-07-01,13,Monday,-1
512,2024-05-22 11:59:00,Twitter,Video,Disappointed with the product,Negative,903,33,68,40431,61992,2.48,2024-05-22,11,Wednesday,-1
513,2024-01-18 07:13:00,LinkedIn,Video,Bad service. Would not recommend,Negative,155,272,193,1494,49481,41.5,2024-01-18,7,Thursday,-1
514,2024-10-07 12:35:00,Instagram,Video,"It's okay, nothing special",Neutral,435,242,140,29824,70503,2.74,2024-10-07,12,Monday,0
515,2024-05-08 00:03:00,TikTok,Link,Outstanding service! Five stars,Positive,562,245,7,13766,44263,5.91,2024-05-08,0,Wednesday,1
516,2024-09-12 03:31:00,LinkedIn,Image,Superb quality! Very happy,Positive,673,227,149,47601,83773,2.2,2024-09-12,3,Thursday,1
517,2024-01-07 02:01:00,LinkedIn,Image,Amazing product! Exceeded expectations,Positive,370,131,7,1504,6600,33.78,2024-01-07,2,Sunday,1
518,2024-07-19 12:54:00,TikTok,Image,Love this product! #amazing,Positive,702,11,27,27789,50298,2.66,2024-07-19,12,Friday,1
519,2024-02-07 02:57:00,Twitter,Text,Disappointed with the product,Negative,833,11,8,21416,23980,3.98,2024-02-07,2,Wednesday,-1
520,2024-04-26 05:51:00,TikTok,Text,Fantastic experience! Thank you,Positive,1074,185,98,33838,81750,4.01,2024-04-26,5,Friday,1
521,2024-07-06 18:13:00,TikTok,Text,Outstanding service! Five stars,Positive,904,282,147,37530,86444,3.55,2024-07-06,18,Saturday,1
522,2024-07-14 16:03:00,Instagram,Video,Great quality! Will buy again,Positive,162,2,108,9917,80712,2.74,2024-07-14,16,Sunday,1
523,2024-05-31 23:22:00,Facebook,Text,Poor quality. Not worth the money,Negative,719,153,110,30975,31559,3.17,2024-05-31,23,Friday,-1
524,2024-01-09 14:16:00,Instagram,Image,Superb quality! Very happy,Positive,1228,364,112,42608,88158,4.0,2024-01-09,14,Tuesday,1
525,2024-06-19 02:55:00,Instagram,Text,Outstanding service! Five stars,Positive,823,208,28,6244,99910,16.96,2024-06-19,2,Wednesday,1
526,2024-03-10 19:45:00,Instagram,Video,Love this product! #amazing,Positive,1161,224,142,25235,49950,6.05,2024-03-10,19,Sunday,1
527,2024-06-23 09:50:00,Facebook,Image,Outstanding service! Five stars,Positive,771,16,107,39270,1458,2.28,2024-06-23,9,Sunday,1
528,2024-04-27 21:27:00,Twitter,Text,Best purchase ever! Highly recommend,Positive,972,74,100,21248,95756,5.39,2024-04-27,21,Saturday,1
529,2024-09-20 01:02:00,LinkedIn,Text,Great quality! Will buy again,Positive,120,175,35,15031,42892,2.2,2024-09-20,1,Friday,1
530,2024-07-14 19:47:00,Facebook,Text,Poor quality. Not worth the money,Negative,175,270,22,27976,24433,1.67,2024-07-14,19,Sunday,-1
531,2024-09-16 06:04:00,LinkedIn,Text,Great quality! Will buy again,Positive,1354,198,148,38877,13577,4.37,2024-09-16,6,Monday,1
532,2024-01-06 23:12:00,Instagram,Video,Amazing product! Exceeded expectations,Positive,660,176,15,37453,26032,2.27,2024-01-06,23,Saturday,1
533,2024-06-28 07:42:00,LinkedIn,Text,Testing this product,Neutral,69,251,137,41265,39988,1.11,2024-06-28,7,Friday,0
534,2024-09-21 01:50:00,LinkedIn,Image,Low quality. Not satisfied,Negative,276,17,39,25099,61453,1.32,2024-09-21,1,Saturday,-1
535,2024-01-21 18:37:00,Facebook,Image,Outstanding service! Five stars,Positive,207,257,78,16593,48272,3.27,2024-01-21,18,Sunday,1
536,2024-09-30 09:14:00,Instagram,Video,Excellent service! Very satisfied,Positive,472,166,10,49470,39164,1.31,2024-09-30,9,Monday,1
537,2024-01-23 21:34:00,Twitter,Link,Outstanding service! Five stars,Positive,168,57,26,17805,13362,1.41,2024-01-23,21,Tuesday,1
538,2024-01-08 00:06:00,LinkedIn,Text,Worst purchase ever. Total waste,Negative,73,189,142,42974,17766,0.94,2024-01-08,0,Monday,-1
539,2024-10-11 02:14:00,TikTok,Text,Great quality! Will buy again,Positive,1323,18,144,33488,77540,4.43,2024-10-11,2,Friday,1
540,2024-04-25 02:24:00,Facebook,Video,Love this product! #amazing,Positive,360,185,54,11901,2870,5.03,2024-04-25,2,Thursday,1
541,2024-01-16 21:44:00,LinkedIn,Text,Bad service. Would not recommend,Negative,856,228,71,43779,69173,2.64,2024-01-16,21,Tuesday,-1
542,2024-04-09 10:40:00,Facebook,Image,Horrible experience. Never again,Negative,941,292,154,42182,64284,3.29,2024-04-09,10,Tuesday,-1
543,2024-03-27 04:44:00,Instagram,Image,Checking out this new item,Neutral,715,225,60,41029,7121,2.44,2024-03-27,4,Wednesday,0
544,2024-10-02 02:25:00,Facebook,Image,Excellent service! Very satisfied,Positive,1153,115,34,3614,22579,36.03,2024-10-02,2,Wednesday,1
545,2024-08-28 05:50:00,Twitter,Text,Poor quality. Not worth the money,Negative,523,222,159,9343,92942,9.68,2024-08-28,5,Wednesday,-1
546,2024-09-01 23:22:00,Twitter,Text,Amazing product! Exceeded expectations,Positive,1137,388,4,49906,27138,3.06,2024-09-01,23,Sunday,1
547,2024-05-30 20:16:00,Twitter,Video,Great quality! Will buy again,Positive,760,101,6,3338,38622,25.97,2024-05-30,20,Thursday,1
548,2024-03-03 07:57:00,LinkedIn,Video,Poor quality. Not worth the money,Negative,895,64,26,6031,67926,16.33,2024-03-03,7,Sunday,-1
549,2024-10-11 14:03:00,Instagram,Video,Product as described,Neutral,650,172,135,47904,40957,2.0,2024-10-11,14,Friday,0
550,2024-07-15 05:33:00,Twitter,Text,Superb quality! Very happy,Positive,130,360,0,30396,63619,1.61,2024-07-15,5,Monday,1
551,2024-08-09 13:17:00,Instagram,Text,Amazing product! Exceeded expectations,Positive,262,84,31,9044,7903,4.17,2024-08-09,13,Friday,1
552,2024-05-26 14:29:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,1432,369,83,4218,92039,44.67,2024-05-26,14,Sunday,1
553,2024-04-29 17:20:00,LinkedIn,Image,Just received my order,Neutral,30,231,97,27288,75539,1.31,2024-04-29,17,Monday,0
554,2024-09-03 06:45:00,Facebook,Text,Amazing product! Exceeded expectations,Positive,156,7,0,12629,72283,1.29,2024-09-03,6,Tuesday,1
555,2024-01-30 20:13:00,LinkedIn,Text,Love this product! #amazing,Positive,1287,213,99,37410,22392,4.27,2024-01-30,20,Tuesday,1
556,2024-05-31 06:12:00,Twitter,Image,Superb quality! Very happy,Positive,459,13,76,27540,24065,1.99,2024-05-31,6,Friday,1
557,2024-10-14 10:24:00,Instagram,Text,Amazing product! Exceeded expectations,Positive,1348,358,140,23153,93000,7.97,2024-10-14,10,Monday,1
558,2024-05-14 20:28:00,Facebook,Image,Horrible experience. Never again,Negative,646,185,200,2237,94940,46.09,2024-05-14,20,Tuesday,-1
559,2024-01-03 20:16:00,LinkedIn,Text,Just received my order,Neutral,308,252,122,8970,36534,7.6,2024-01-03,20,Wednesday,0
560,2024-10-02 21:40:00,TikTok,Image,Outstanding service! Five stars,Positive,607,57,92,1634,32506,46.27,2024-10-02,21,Wednesday,1
561,2024-04-21 19:04:00,LinkedIn,Image,Standard quality,Neutral,701,17,104,20027,62170,4.1,2024-04-21,19,Sunday,0
562,2024-08-29 21:53:00,Facebook,Image,Terrible experience. Very disappointed,Negative,240,69,74,20333,83258,1.88,2024-08-29,21,Thursday,-1
563,2024-07-24 11:53:00,Twitter,Link,Low quality. Not satisfied,Negative,40,96,200,42630,11888,0.79,2024-07-24,11,Wednesday,-1
564,2024-03-23 22:37:00,Twitter,Video,Excellent service! Very satisfied,Positive,1341,352,10,22019,79113,7.73,2024-03-23,22,Saturday,1
565,2024-06-27 07:12:00,Twitter,Text,Excellent service! Very satisfied,Positive,1236,222,10,30302,51096,4.84,2024-06-27,7,Thursday,1
566,2024-01-17 17:35:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,1290,176,100,15333,70015,10.21,2024-01-17,17,Wednesday,1
567,2024-07-27 02:55:00,LinkedIn,Video,Fantastic experience! Thank you,Positive,1273,367,15,26853,17603,6.16,2024-07-27,2,Saturday,1
568,2024-08-18 21:27:00,Facebook,Video,Outstanding service! Five stars,Positive,910,146,20,13469,83906,7.99,2024-08-18,21,Sunday,1
569,2024-08-14 11:02:00,Facebook,Text,Bad service. Would not recommend,Negative,48,111,98,13023,39528,1.97,2024-08-14,11,Wednesday,-1
570,2024-04-17 18:02:00,LinkedIn,Video,Fantastic experience! Thank you,Positive,1470,208,113,24811,73158,7.22,2024-04-17,18,Wednesday,1
571,2024-04-20 02:57:00,Facebook,Image,Love this product! #amazing,Positive,1486,118,7,21129,8716,7.62,2024-04-20,2,Saturday,1
572,2024-10-08 05:33:00,Twitter,Image,Product as described,Neutral,130,138,2,49340,2369,0.55,2024-10-08,5,Tuesday,0
573,2024-10-16 04:52:00,Facebook,Video,Average experience,Neutral,106,98,32,29214,99436,0.81,2024-10-16,4,Wednesday,0
574,2024-03-21 09:39:00,LinkedIn,Link,Excellent service! Very satisfied,Positive,631,330,149,19906,84094,5.58,2024-03-21,9,Thursday,1
575,2024-02-24 06:51:00,LinkedIn,Text,Love this product! #amazing,Positive,961,122,88,27733,26549,4.22,2024-02-24,6,Saturday,1
576,2024-10-04 15:19:00,Instagram,Image,Excellent service! Very satisfied,Positive,976,206,113,38934,32260,3.33,2024-10-04,15,Friday,1
577,2024-09-22 18:32:00,Facebook,Video,Best purchase ever! Highly recommend,Positive,486,205,31,6319,35255,11.43,2024-09-22,18,Sunday,1
578,2024-08-05 15:18:00,LinkedIn,Image,Product as described,Neutral,487,41,46,30037,57443,1.91,2024-08-05,15,Monday,0
579,2024-05-12 11:00:00,Facebook,Text,Excellent service! Very satisfied,Positive,655,44,44,22874,12233,3.25,2024-05-12,11,Sunday,1
580,2024-01-04 18:13:00,LinkedIn,Text,Product as described,Neutral,172,215,146,17938,17598,2.97,2024-01-04,18,Thursday,0
581,2024-09-03 09:17:00,Instagram,Text,"It's okay, nothing special",Neutral,535,239,136,20569,27625,4.42,2024-09-03,9,Tuesday,0
582,2024-01-16 04:29:00,Facebook,Image,Disappointed with the product,Negative,757,121,201,30839,44124,3.5,2024-01-16,4,Tuesday,-1
583,2024-02-11 23:30:00,LinkedIn,Image,Horrible experience. Never again,Negative,195,249,107,1736,65103,31.74,2024-02-11,23,Sunday,-1
584,2024-05-19 01:29:00,Twitter,Text,Worst purchase ever. Total waste,Negative,484,75,124,10971,10314,6.23,2024-05-19,1,Sunday,-1
585,2024-07-27 16:04:00,Twitter,Text,Checking out this new item,Neutral,152,199,141,15628,43222,3.15,2024-07-27,16,Saturday,0
586,2024-02-18 17:45:00,LinkedIn,Video,Fantastic experience! Thank you,Positive,951,57,28,17891,10545,5.79,2024-02-18,17,Sunday,1
587,2024-09-03 11:19:00,Instagram,Text,Terrible customer service,Negative,966,79,197,21419,94736,5.8,2024-09-03,11,Tuesday,-1
588,2024-10-10 13:21:00,Facebook,Text,Average experience,Neutral,725,112,46,30388,90550,2.91,2024-10-10,13,Thursday,0
589,2024-02-10 05:54:00,LinkedIn,Text,"It's okay, nothing special",Neutral,611,297,9,27851,66893,3.29,2024-02-10,5,Saturday,0
590,2024-02-01 11:17:00,LinkedIn,Text,"It's okay, nothing special",Neutral,249,67,145,32552,52130,1.42,2024-02-01,11,Thursday,0
591,2024-06-20 21:47:00,Instagram,Link,Fantastic experience! Thank you,Positive,103,159,59,9343,32622,3.44,2024-06-20,21,Thursday,1
592,2024-02-21 13:46:00,Facebook,Text,Worst purchase ever. Total waste,Negative,727,154,78,36013,90908,2.66,2024-02-21,13,Wednesday,-1
593,2024-01-04 03:26:00,TikTok,Text,Outstanding service! Five stars,Positive,811,258,30,14509,23988,7.57,2024-01-04,3,Thursday,1
594,2024-07-15 11:19:00,Twitter,Text,Superb quality! Very happy,Positive,540,309,24,10258,43350,8.51,2024-07-15,11,Monday,1
595,2024-04-18 17:27:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,702,374,57,6548,37595,17.3,2024-04-18,17,Thursday,1
596,2024-07-24 02:20:00,LinkedIn,Text,Great quality! Will buy again,Positive,255,314,56,27447,46459,2.28,2024-07-24,2,Wednesday,1
597,2024-05-17 12:30:00,TikTok,Text,Superb quality! Very happy,Positive,714,250,129,32610,6883,3.35,2024-05-17,12,Friday,1
598,2024-02-10 19:46:00,Instagram,Text,Best purchase ever! Highly recommend,Positive,370,339,33,28837,3916,2.57,2024-02-10,19,Saturday,1
599,2024-10-09 18:08:00,TikTok,Link,Outstanding service! Five stars,Positive,1267,269,77,11578,17083,13.93,2024-10-09,18,Wednesday,1
600,2024-03-25 23:06:00,Facebook,Link,Standard quality,Neutral,128,222,48,1568,28645,25.38,2024-03-25,23,Monday,0
601,2024-01-25 18:37:00,Twitter,Image,Fantastic experience! Thank you,Positive,582,370,43,16301,48010,6.1,2024-01-25,18,Thursday,1
602,2024-01-26 05:03:00,LinkedIn,Image,Best purchase ever! Highly recommend,Positive,1134,11,106,19117,98199,6.54,2024-01-26,5,Friday,1
603,2024-08-14 14:30:00,Facebook,Text,Fantastic experience! Thank you,Positive,922,352,146,32143,69223,4.42,2024-08-14,14,Wednesday,1
604,2024-08-21 04:52:00,Instagram,Text,Terrible experience. Very disappointed,Negative,37,97,204,39981,54024,0.85,2024-08-21,4,Wednesday,-1
605,2024-01-17 07:49:00,Facebook,Link,Bad service. Would not recommend,Negative,711,50,114,18046,24746,4.85,2024-01-17,7,Wednesday,-1
606,2024-10-10 07:20:00,Instagram,Video,Terrible experience. Very disappointed,Negative,310,115,39,15925,39895,2.91,2024-10-10,7,Thursday,-1
607,2024-02-15 19:14:00,Twitter,Video,Horrible experience. Never again,Negative,852,48,2,47958,15950,1.88,2024-02-15,19,Thursday,-1
608,2024-10-05 01:03:00,Facebook,Text,Superb quality! Very happy,Positive,1257,180,2,41155,85049,3.5,2024-10-05,1,Saturday,1
609,2024-03-14 21:59:00,Twitter,Video,Love this product! #amazing,Positive,1311,183,93,33534,33416,4.73,2024-03-14,21,Thursday,1
610,2024-03-12 12:13:00,Facebook,Video,Love this product! #amazing,Positive,1330,367,63,42868,68243,4.11,2024-03-12,12,Tuesday,1
611,2024-01-25 22:49:00,Instagram,Image,Excellent service! Very satisfied,Positive,234,209,66,14450,30408,3.52,2024-01-25,22,Thursday,1
612,2024-03-09 10:23:00,LinkedIn,Text,Horrible experience. Never again,Negative,822,181,145,34334,96023,3.34,2024-03-09,10,Saturday,-1
613,2024-02-11 17:56:00,Twitter,Text,Standard quality,Neutral,707,59,27,23909,20126,3.32,2024-02-11,17,Sunday,0
614,2024-04-22 07:24:00,Instagram,Image,Superb quality! Very happy,Positive,991,185,1,33834,35171,3.48,2024-04-22,7,Monday,1
615,2024-03-22 17:43:00,LinkedIn,Video,Amazing product! Exceeded expectations,Positive,946,345,15,30608,60940,4.27,2024-03-22,17,Friday,1
616,2024-01-26 07:41:00,LinkedIn,Link,Low quality. Not satisfied,Negative,964,248,125,13647,56590,9.8,2024-01-26,7,Friday,-1
617,2024-05-24 10:11:00,Facebook,Text,Best purchase ever! Highly recommend,Positive,1017,260,80,7045,75321,19.26,2024-05-24,10,Friday,1
618,2024-05-29 10:06:00,Instagram,Image,Best purchase ever! Highly recommend,Positive,1402,27,122,40900,72986,3.79,2024-05-29,10,Wednesday,1
619,2024-01-26 21:45:00,Twitter,Text,Outstanding service! Five stars,Positive,870,328,149,9232,97333,14.59,2024-01-26,21,Friday,1
620,2024-10-03 13:57:00,Twitter,Image,Standard quality,Neutral,659,285,88,13103,18454,7.88,2024-10-03,13,Thursday,0
621,2024-07-15 07:46:00,Facebook,Text,Great quality! Will buy again,Positive,256,331,73,20095,61538,3.28,2024-07-15,7,Monday,1
622,2024-07-22 13:59:00,Facebook,Image,Poor quality. Not worth the money,Negative,985,0,109,32359,98763,3.38,2024-07-22,13,Monday,-1
623,2024-04-17 16:18:00,Instagram,Text,Disappointed with the product,Negative,581,253,144,41811,17647,2.34,2024-04-17,16,Wednesday,-1
624,2024-06-28 11:00:00,LinkedIn,Image,"It's okay, nothing special",Neutral,346,215,0,7040,58692,7.97,2024-06-28,11,Friday,0
625,2024-07-26 20:46:00,TikTok,Text,Average experience,Neutral,670,76,88,20101,12476,4.15,2024-07-26,20,Friday,0
626,2024-10-12 04:19:00,Instagram,Link,Outstanding service! Five stars,Positive,66,306,57,18962,47503,2.26,2024-10-12,4,Saturday,1
627,2024-09-06 08:04:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,1177,286,77,5866,44470,26.25,2024-09-06,8,Friday,1
628,2024-08-29 03:24:00,Twitter,Image,Outstanding service! Five stars,Positive,828,335,80,26032,78184,4.77,2024-08-29,3,Thursday,1
629,2024-08-05 02:07:00,Instagram,Video,Fantastic experience! Thank you,Positive,1416,234,18,19301,54456,8.64,2024-08-05,2,Monday,1
630,2024-07-11 12:25:00,TikTok,Text,Product as described,Neutral,555,25,96,32041,66686,2.11,2024-07-11,12,Thursday,0
631,2024-09-27 06:46:00,Facebook,Image,Disappointed with the product,Negative,121,56,173,1241,14041,28.2,2024-09-27,6,Friday,-1
632,2024-06-26 18:24:00,Facebook,Image,Low quality. Not satisfied,Negative,530,145,84,38740,27114,1.96,2024-06-26,18,Wednesday,-1
633,2024-08-12 04:53:00,Facebook,Link,Worst purchase ever. Total waste,Negative,441,95,176,13298,10061,5.35,2024-08-12,4,Monday,-1
634,2024-05-14 10:03:00,Facebook,Text,Superb quality! Very happy,Positive,444,6,97,29787,13410,1.84,2024-05-14,10,Tuesday,1
635,2024-01-25 03:00:00,LinkedIn,Image,Love this product! #amazing,Positive,45,132,141,19376,3708,1.64,2024-01-25,3,Thursday,1
636,2024-04-03 15:15:00,LinkedIn,Link,Testing this product,Neutral,864,197,119,33773,45703,3.49,2024-04-03,15,Wednesday,0
637,2024-03-13 04:27:00,LinkedIn,Text,Amazing product! Exceeded expectations,Positive,1429,232,47,23066,60856,7.4,2024-03-13,4,Wednesday,1
638,2024-04-23 19:11:00,LinkedIn,Image,Amazing product! Exceeded expectations,Positive,1141,245,29,8971,30092,15.77,2024-04-23,19,Tuesday,1
639,2024-02-14 06:58:00,Twitter,Text,Worst purchase ever. Total waste,Negative,903,175,61,28226,35498,4.04,2024-02-14,6,Wednesday,-1
640,2024-03-12 00:58:00,Instagram,Text,Outstanding service! Five stars,Positive,778,211,108,25538,27416,4.3,2024-03-12,0,Tuesday,1
641,2024-04-13 14:27:00,Facebook,Image,Superb quality! Very happy,Positive,1485,349,135,25094,39948,7.85,2024-04-13,14,Saturday,1
642,2024-02-17 10:23:00,TikTok,Text,Fantastic experience! Thank you,Positive,1408,39,123,26917,68872,5.83,2024-02-17,10,Saturday,1
643,2024-06-19 16:26:00,Instagram,Video,Amazing product! Exceeded expectations,Positive,439,188,94,42178,98918,1.71,2024-06-19,16,Wednesday,1
644,2024-09-17 02:43:00,Facebook,Video,Fantastic experience! Thank you,Positive,567,76,62,37351,91796,1.89,2024-09-17,2,Tuesday,1
645,2024-04-26 20:42:00,Instagram,Text,Terrible experience. Very disappointed,Negative,11,19,11,33997,65371,0.12,2024-04-26,20,Friday,-1
646,2024-04-30 15:09:00,Twitter,Text,Low quality. Not satisfied,Negative,116,173,99,22498,20318,1.72,2024-04-30,15,Tuesday,-1
647,2024-02-19 02:29:00,Instagram,Text,Fantastic experience! Thank you,Positive,492,110,8,221,91910,276.02,2024-02-19,2,Monday,1
648,2024-06-18 21:24:00,LinkedIn,Text,Bad service. Would not recommend,Negative,846,212,11,29988,6609,3.56,2024-06-18,21,Tuesday,-1
649,2024-09-03 06:02:00,LinkedIn,Image,Testing this product,Neutral,371,67,125,48717,92660,1.16,2024-09-03,6,Tuesday,0
650,2024-05-10 18:49:00,Facebook,Image,Product arrived today,Neutral,463,128,117,7232,87070,9.79,2024-05-10,18,Friday,0
651,2024-03-04 02:31:00,Facebook,Text,Product as described,Neutral,440,46,75,44401,26833,1.26,2024-03-04,2,Monday,0
652,2024-04-25 21:50:00,LinkedIn,Video,Terrible experience. Very disappointed,Negative,916,2,168,21656,29898,5.01,2024-04-25,21,Thursday,-1
653,2024-07-03 05:42:00,Facebook,Image,Amazing product! Exceeded expectations,Positive,1456,42,76,8131,31416,19.36,2024-07-03,5,Wednesday,1
654,2024-07-22 22:41:00,LinkedIn,Image,Love this product! #amazing,Positive,915,377,41,37845,69811,3.52,2024-07-22,22,Monday,1
655,2024-02-04 16:53:00,LinkedIn,Text,Excellent service! Very satisfied,Positive,1368,23,85,10503,19850,14.05,2024-02-04,16,Sunday,1
656,2024-07-07 08:09:00,Facebook,Video,Low quality. Not satisfied,Negative,184,120,91,3055,29546,12.93,2024-07-07,8,Sunday,-1
657,2024-08-11 00:46:00,Twitter,Video,Low quality. Not satisfied,Negative,752,286,140,11391,36469,10.34,2024-08-11,0,Sunday,-1
658,2024-06-28 15:04:00,LinkedIn,Text,Outstanding service! Five stars,Positive,1408,263,39,35655,32421,4.8,2024-06-28,15,Friday,1
659,2024-02-06 15:34:00,Twitter,Video,Great quality! Will buy again,Positive,699,110,56,6956,77387,12.44,2024-02-06,15,Tuesday,1
660,2024-04-08 10:53:00,Twitter,Video,Disappointed with the product,Negative,884,80,100,30014,86504,3.55,2024-04-08,10,Monday,-1
661,2024-05-16 04:31:00,Instagram,Text,"It's okay, nothing special",Neutral,842,173,22,28834,73262,3.6,2024-05-16,4,Thursday,0
662,2024-07-07 14:19:00,Twitter,Text,Poor quality. Not worth the money,Negative,49,192,137,14985,46431,2.52,2024-07-07,14,Sunday,-1
663,2024-05-22 06:43:00,LinkedIn,Text,Outstanding service! Five stars,Positive,1308,293,76,2206,17196,76.02,2024-05-22,6,Wednesday,1
664,2024-08-24 09:31:00,TikTok,Text,Horrible experience. Never again,Negative,33,83,116,25430,13306,0.91,2024-08-24,9,Saturday,-1
665,2024-05-20 16:48:00,Instagram,Image,Amazing product! Exceeded expectations,Positive,1326,235,23,30575,75926,5.18,2024-05-20,16,Monday,1
666,2024-08-31 11:25:00,TikTok,Text,Horrible experience. Never again,Negative,679,157,147,5740,91402,17.13,2024-08-31,11,Saturday,-1
667,2024-03-26 21:13:00,Twitter,Text,Best purchase ever! Highly recommend,Positive,616,223,48,9692,71113,9.15,2024-03-26,21,Tuesday,1
668,2024-03-09 22:19:00,Twitter,Link,Fantastic experience! Thank you,Positive,831,195,89,45809,76298,2.43,2024-03-09,22,Saturday,1
669,2024-07-20 17:27:00,Twitter,Text,Fantastic experience! Thank you,Positive,237,205,49,31565,54472,1.56,2024-07-20,17,Saturday,1
670,2024-06-10 10:33:00,Twitter,Text,Worst purchase ever. Total waste,Negative,876,210,58,43409,49997,2.64,2024-06-10,10,Monday,-1
671,2024-09-05 07:00:00,LinkedIn,Text,Great quality! Will buy again,Positive,835,141,109,20694,98020,5.24,2024-09-05,7,Thursday,1
672,2024-01-02 18:45:00,Instagram,Text,Superb quality! Very happy,Positive,735,330,111,34501,30592,3.41,2024-01-02,18,Tuesday,1
673,2024-02-28 17:59:00,Twitter,Text,Fantastic experience! Thank you,Positive,1410,365,134,48600,75755,3.93,2024-02-28,17,Wednesday,1
674,2024-05-09 23:40:00,Instagram,Text,Great quality! Will buy again,Positive,46,92,59,8979,79648,2.19,2024-05-09,23,Thursday,1
675,2024-10-09 05:34:00,LinkedIn,Video,Outstanding service! Five stars,Positive,150,154,107,17515,67903,2.35,2024-10-09,5,Wednesday,1
676,2024-01-04 13:20:00,Twitter,Text,Worst purchase ever. Total waste,Negative,634,282,58,9240,99258,10.54,2024-01-04,13,Thursday,-1
677,2024-05-08 05:29:00,TikTok,Text,Best purchase ever! Highly recommend,Positive,148,70,29,20537,28777,1.2,2024-05-08,5,Wednesday,1
678,2024-06-25 20:25:00,LinkedIn,Text,Product arrived today,Neutral,801,71,86,28629,26187,3.35,2024-06-25,20,Tuesday,0
679,2024-09-30 22:47:00,Facebook,Text,Product as described,Neutral,323,184,14,36175,26808,1.44,2024-09-30,22,Monday,0
680,2024-04-17 07:49:00,Instagram,Link,Superb quality! Very happy,Positive,1261,332,124,12764,8841,13.45,2024-04-17,7,Wednesday,1
681,2024-07-10 03:56:00,LinkedIn,Text,Best purchase ever! Highly recommend,Positive,687,170,100,43069,90939,2.22,2024-07-10,3,Wednesday,1
682,2024-07-30 20:07:00,Twitter,Text,Amazing product! Exceeded expectations,Positive,1410,188,17,14935,93113,10.81,2024-07-30,20,Tuesday,1
683,2024-05-19 04:02:00,Facebook,Text,Worst purchase ever. Total waste,Negative,960,50,186,40633,6532,2.94,2024-05-19,4,Sunday,-1
684,2024-01-17 00:50:00,Facebook,Image,Fantastic experience! Thank you,Positive,1374,7,4,41970,79254,3.3,2024-01-17,0,Wednesday,1
685,2024-09-03 08:15:00,Instagram,Text,Amazing product! Exceeded expectations,Positive,361,131,65,36534,4974,1.52,2024-09-03,8,Tuesday,1
686,2024-05-09 01:42:00,Twitter,Text,Fantastic experience! Thank you,Positive,1380,295,110,25991,60893,6.87,2024-05-09,1,Thursday,1
687,2024-10-18 14:21:00,TikTok,Text,Superb quality! Very happy,Positive,498,351,23,21223,82882,4.11,2024-10-18,14,Friday,1
688,2024-10-06 00:20:00,Facebook,Text,Love this product! #amazing,Positive,1254,204,103,46735,29432,3.34,2024-10-06,0,Sunday,1
689,2024-04-22 11:37:00,Twitter,Text,Great quality! Will buy again,Positive,729,292,110,23420,88407,4.83,2024-04-22,11,Monday,1
690,2024-09-02 00:52:00,LinkedIn,Image,Excellent service! Very satisfied,Positive,976,163,48,43529,95151,2.73,2024-09-02,0,Monday,1
691,2024-09-12 09:02:00,Facebook,Video,Love this product! #amazing,Positive,1245,374,73,34628,25194,4.89,2024-09-12,9,Thursday,1
692,2024-05-08 06:53:00,Instagram,Image,Standard quality,Neutral,322,24,59,44987,11667,0.9,2024-05-08,6,Wednesday,0
693,2024-04-17 06:25:00,Facebook,Text,Great quality! Will buy again,Positive,28,289,24,38698,12144,0.88,2024-04-17,6,Wednesday,1
694,2024-01-31 20:55:00,Facebook,Video,Disappointed with the product,Negative,742,277,71,28278,39348,3.85,2024-01-31,20,Wednesday,-1
